INFO:root:['0484', '16', '07:24:56.655', '04']
INFO:root:['8580', '56', '17:07:40.672', '02']
INFO:root:['4976', '78', '19:35:55.146', '05']
INFO:root:['6667', '85', '14:30:27.182', '02']
INFO:root:['1375', '98', '17:37:01.690', '06']
INFO:root:['2993', '75', '14:45:44.512', '09']
INFO:root:['1412', '17', '07:60:34.239', '00']
INFO:root:['9539', '75', '19:53:11.876', '10']
INFO:root:['5205', '82', '10:46:08.544', '04']
INFO:root:['1987', '45', '08:45:44.652', '09']
INFO:root:['4181', '54', '06:04:51.579', '03']
INFO:root:['8986', '96', '22:31:12.081', '08']
INFO:root:['5708', '75', '22:57:49.557', '01']
INFO:root:['2182', '05', '02:11:60.434', '02']
INFO:root:['5383', '34', '10:28:28.345', '00']
INFO:root:['5895', '03', '10:40:17.327', '05']
INFO:root:['3946', '97', '09:27:10.124', '01']
INFO:root:['9750', '91', '24:17:29.408', '09']
INFO:root:['5841', '66', '10:50:20.042', '02']
INFO:root:['8273', '16', '19:33:29.816', '07']
INFO:root:['6074', '57', '02:50:05.848', '04']
INFO:root:['0331', '24', '09:44:52.879', '02']
INFO:root:['6647', '62', '05:54:55.468', '04']
INFO:root:['9781', '63', '04:15:41.451', '09']
INFO:root:['8147', '16', '21:39:41.626', '10']
INFO:root:['2106', '19', '13:25:50.179', '07']
INFO:root:['1882', '65', '16:25:26.134', '04']
INFO:root:['9268', '64', '01:00:33.054', '03']
INFO:root:['4554', '28', '21:49:14.846', '03']
INFO:root:['3912', '67', '17:05:09.458', '08']
INFO:root:['6622', '58', '24:34:40.327', '01']
INFO:root:['0366', '31', '16:39:18.960', '05']
INFO:root:['9754', '33', '07:52:21.181', '01']
INFO:root:['7962', '93', '02:40:26.378', '03']
INFO:root:['2516', '46', '21:33:03.569', '06']
INFO:root:['8874', '96', '09:04:51.026', '10']
INFO:root:['0473', '49', '20:12:03.686', '09']
INFO:root:['9831', '40', '14:49:21.768', '02']
INFO:root:['2204', '24', '09:09:31.834', '07']
INFO:root:['8408', '78', '10:26:12.423', '10']
INFO:root:['2233', '96', '07:19:14.018', '00']
INFO:root:['4748', '99', '10:11:49.042', '00']
INFO:root:['5871', '36', '15:17:05.106', '04']
INFO:root:['1360', '95', '04:47:10.370', '01']
INFO:root:['7869', '77', '23:55:24.517', '00']
INFO:root:['3847', '08', '09:33:58.048', '07']
INFO:root:['4350', '06', '11:27:22.497', '05']
INFO:root:['8680', '22', '10:22:03.374', '09']
INFO:root:['3629', '18', '04:52:39.418', '07']
INFO:root:['3847', '35', '01:57:42.404', '00']
INFO:root:['6606', '13', '04:54:55.672', '04']
INFO:root:['6154', '89', '09:20:12.505', '06']
INFO:root:['8658', '86', '04:56:49.562', '00']
INFO:root:['1449', '15', '13:09:26.095', '10']
INFO:root:['3658', '46', '07:39:24.880', '10']
INFO:root:['1526', '03', '16:15:05.633', '04']
INFO:root:['3936', '41', '01:11:55.689', '08']
INFO:root:['8739', '11', '11:44:58.113', '02']
INFO:root:['8373', '74', '19:25:32.143', '02']
INFO:root:['5756', '06', '04:56:42.660', '04']
INFO:root:['3257', '16', '18:03:44.504', '10']
INFO:root:['1475', '70', '10:41:54.355', '03']
INFO:root:['4970', '83', '10:41:19.645', '10']
INFO:root:['9546', '59', '06:15:01.257', '01']
INFO:root:['3213', '70', '23:59:36.606', '08']
INFO:root:['8452', '51', '02:25:06.587', '07']
INFO:root:['3924', '62', '02:04:36.134', '06']
INFO:root:['2271', '35', '06:15:55.424', '09']
INFO:root:['7584', '25', '12:48:45.759', '03']
INFO:root:['4683', '86', '07:00:59.756', '03']
INFO:root:['0293', '64', '16:53:04.559', '00']
INFO:root:['1220', '07', '05:48:03.980', '03']
INFO:root:['1527', '56', '13:15:13.017', '02']
INFO:root:['5911', '83', '03:11:51.372', '00']
INFO:root:['0024', '80', '17:60:31.109', '07']
INFO:root:['3052', '18', '06:32:33.157', '01']
INFO:root:['3676', '29', '11:49:25.493', '00']
INFO:root:['6786', '55', '24:53:60.673', '09']
INFO:root:['0712', '85', '21:04:23.629', '03']
INFO:root:['8741', '20', '01:45:24.708', '02']
INFO:root:['2040', '52', '07:47:16.546', '08']
INFO:root:['6523', '64', '08:44:46.722', '00']
INFO:root:['4427', '54', '23:51:41.876', '09']
INFO:root:['4593', '61', '04:05:04.184', '06']
INFO:root:['7850', '94', '14:17:34.379', '02']
INFO:root:['0483', '85', '02:05:29.953', '00']
INFO:root:['2754', '37', '06:56:15.271', '05']
INFO:root:['4551', '31', '07:21:13.443', '02']
INFO:root:['4261', '79', '17:58:60.301', '08']
INFO:root:['6444', '26', '21:15:05.223', '07']
INFO:root:['3820', '53', '15:51:33.412', '03']
INFO:root:['8628', '26', '07:13:42.470', '03']
INFO:root:['0557', '04', '04:38:31.158', '06']
INFO:root:['1414', '97', '14:40:30.961', '08']
INFO:root:['1257', '84', '09:45:44.513', '00']
INFO:root:['0133', '19', '17:20:34.279', '04']
INFO:root:['7246', '81', '02:24:32.773', '00']
INFO:root:['5474', '75', '15:57:38.286', '07']
INFO:root:['6242', '84', '02:02:07.477', '06']
INFO:root:['7271', '59', '19:43:52.279', '05']
INFO:root:['0077', '36', '19:17:39.342', '01']
INFO:root:['4657', '73', '11:57:06.503', '02']
INFO:root:['6566', '36', '14:33:17.688', '03']
INFO:root:['7229', '42', '06:30:49.278', '08']
INFO:root:['8994', '69', '20:39:05.759', '07']
INFO:root:['1040', '10', '08:07:46.423', '08']
INFO:root:['2105', '47', '20:25:41.682', '00']
INFO:root:['5298', '24', '19:32:34.171', '07']
INFO:root:['3872', '75', '04:16:14.293', '10']
INFO:root:['0860', '48', '18:55:03.139', '05']
INFO:root:['6122', '50', '02:35:56.044', '02']
INFO:root:['4787', '68', '21:35:43.540', '06']
INFO:root:['7235', '66', '16:38:55.673', '05']
INFO:root:['4374', '37', '06:19:16.364', '04']
INFO:root:['8289', '10', '05:41:17.971', '08']
INFO:root:['3169', '54', '08:43:35.442', '00']
INFO:root:['2276', '38', '06:57:25.717', '07']
INFO:root:['7552', '54', '01:41:51.427', '10']
INFO:root:['8202', '92', '14:34:31.395', '02']
INFO:root:['7579', '35', '17:57:05.917', '00']
INFO:root:['7031', '40', '05:02:09.192', '00']
INFO:root:['2691', '00', '10:50:35.901', '01']
INFO:root:['6569', '84', '04:32:42.251', '01']
INFO:root:['2506', '94', '19:54:53.197', '06']
INFO:root:['6445', '52', '21:48:12.976', '02']
INFO:root:['5501', '24', '20:19:20.432', '00']
INFO:root:['3444', '83', '23:59:07.533', '04']
INFO:root:['0422', '29', '19:39:49.537', '02']
INFO:root:['7360', '93', '11:52:55.108', '08']
INFO:root:['1264', '96', '14:45:48.603', '05']
INFO:root:['9869', '21', '04:38:60.757', '00']
INFO:root:['1964', '02', '03:49:50.534', '04']
INFO:root:['3272', '48', '09:42:16.866', '02']
INFO:root:['1470', '09', '01:20:34.411', '07']
INFO:root:['9084', '95', '21:43:47.121', '05']
INFO:root:['9179', '35', '13:12:24.326', '03']
INFO:root:['5762', '03', '20:40:26.682', '03']
INFO:root:['5994', '30', '21:35:43.240', '06']
INFO:root:['8834', '26', '06:58:38.540', '08']
INFO:root:['3546', '21', '14:13:03.515', '05']
INFO:root:['5199', '88', '11:19:03.560', '10']
INFO:root:['7870', '71', '21:31:25.751', '08']
INFO:root:['9191', '36', '17:03:14.625', '05']
INFO:root:['6452', '05', '08:12:54.130', '06']
INFO:root:['6104', '37', '16:42:33.626', '05']
INFO:root:['6871', '66', '09:48:34.206', '01']
INFO:root:['2292', '64', '05:21:44.995', '06']
INFO:root:['9073', '63', '19:31:34.383', '00']
INFO:root:['4108', '31', '12:17:18.035', '03']
INFO:root:['5055', '64', '08:51:48.173', '04']
INFO:root:['5803', '70', '03:22:46.022', '08']
INFO:root:['5815', '13', '22:48:47.638', '01']
INFO:root:['8863', '38', '11:06:07.969', '09']
INFO:root:['8308', '02', '23:48:54.060', '03']
INFO:root:['1658', '06', '05:21:38.837', '09']
INFO:root:['4486', '56', '14:46:40.877', '07']
INFO:root:['6263', '55', '07:02:42.145', '01']
INFO:root:['8437', '74', '19:29:37.513', '06']
INFO:root:['0544', '45', '24:09:11.308', '02']
INFO:root:['7305', '55', '24:34:16.132', '03']
INFO:root:['8896', '00', '08:12:31.165', '02']
INFO:root:['8659', '19', '05:06:02.705', '05']
INFO:root:['8797', '50', '21:17:17.458', '00']
INFO:root:['8223', '09', '07:47:55.098', '08']
INFO:root:['4676', '19', '04:12:35.085', '07']
INFO:root:['1883', '03', '23:21:24.969', '03']
INFO:root:['2843', '94', '12:03:19.004', '01']
INFO:root:['2421', '92', '24:03:00.711', '04']
INFO:root:['5699', '93', '04:45:25.680', '09']
INFO:root:['7351', '50', '09:38:37.032', '06']
INFO:root:['3814', '36', '21:60:09.025', '04']
INFO:root:['6648', '25', '16:54:34.218', '05']
INFO:root:['9749', '12', '24:53:14.722', '00']
INFO:root:['8560', '92', '08:53:43.004', '00']
INFO:root:['9002', '83', '14:36:52.986', '01']
INFO:root:['6506', '47', '07:41:52.004', '10']
INFO:root:['3518', '70', '23:38:17.095', '05']
INFO:root:['2434', '41', '24:16:21.828', '10']
INFO:root:['1524', '75', '02:54:34.504', '00']
INFO:root:['4372', '70', '20:30:13.877', '00']
INFO:root:['9535', '57', '13:38:27.258', '00']
INFO:root:['8997', '72', '16:50:48.426', '04']
INFO:root:['8958', '09', '09:19:32.606', '08']
INFO:root:['9345', '92', '14:25:53.554', '04']
INFO:root:['3846', '72', '12:57:55.113', '01']
INFO:root:['9805', '21', '01:10:07.349', '08']
INFO:root:['2780', '76', '07:25:48.277', '06']
INFO:root:['8122', '36', '17:35:31.232', '00']
INFO:root:['2954', '43', '06:30:52.754', '03']
INFO:root:['7498', '14', '18:28:02.218', '05']
INFO:root:['7048', '02', '10:32:00.677', '08']
INFO:root:['4054', '81', '10:11:42.674', '08']
INFO:root:['7116', '70', '08:15:47.534', '10']
INFO:root:['0509', '11', '17:56:57.549', '10']
INFO:root:['5736', '12', '18:30:22.446', '03']
INFO:root:['3240', '12', '21:55:17.124', '02']
